Latitude,Longitude,DC
50.35,-74.67,86.97638
50.35,-74.67,86.52781
50.35,-74.67,87.83994
50.35,-74.67,90.97106
50.35,-74.67,80.26202
50.35,-74.67,96.61866
50.35,-74.67,75.93192
50.35,-74.67,80.3025
50.35,-74.67,83.60447
50.35,-74.67,91.02727
50.35,-74.67,82.03128
50.35,-74.67,86.6582
50.35,-74.67,93.4482
50.35,-74.67,93.15994
50.35,-74.67,88.47448
50.35,-74.67,89.56105
50.35,-74.67,83.79601
50.35,-74.67,96.23241
50.35,-74.67,89.45223
50.35,-74.67,88.02911
50.35,-74.67,92.58806
50.35,-74.67,82.8984
50.35,-74.67,83.38443
50.35,-74.67,83.34632
50.35,-74.67,83.01215
50.35,-74.67,75.30691
50.35,-74.67,92.62449
50.34,-74.67,90.70896
50.34,-74.67,98.2585
50.34,-74.67,85.61356
50.34,-74.67,87.17146
50.34,-74.67,86.78124
50.34,-74.67,87.8446
50.34,-74.67,91.27553
50.34,-74.67,80.46922
50.34,-74.67,96.85856
50.34,-74.67,75.6699
50.34,-74.67,80.41042
50.34,-74.67,83.81316
50.34,-74.67,91.4014
50.34,-74.67,81.71946
50.34,-74.67,86.95193
50.34,-74.67,93.61584
50.34,-74.67,92.98323
50.34,-74.67,88.59603
50.34,-74.67,89.80069
50.34,-74.67,83.9205
50.34,-74.67,96.46644
50.34,-74.67,89.62849
50.34,-74.67,88.16557
50.34,-74.67,92.73146
50.34,-74.67,83.05563
50.34,-74.67,83.69395
50.34,-74.67,83.48848
50.34,-74.67,83.23209
50.34,-74.67,75.43532
50.34,-74.67,92.83528
50.34,-74.67,90.85984
50.34,-74.67,98.45204
50.34,-74.67,85.75794
50.34,-74.67,87.29133
50.34,-74.67,86.85664
50.34,-74.67,87.96952
50.34,-74.67,91.5045
50.34,-74.67,80.29091
50.34,-74.67,97.09711
50.34,-74.67,75.88259
50.34,-74.67,80.54037
50.34,-74.67,83.98622
50.34,-74.67,91.57413
50.34,-74.67,81.86233
50.34,-74.67,87.12401
50.34,-74.67,93.33033
50.34,-74.67,94.01358
50.34,-74.67,88.30898
50.34,-74.67,89.81342
50.34,-74.67,83.75532
50.34,-74.67,96.6406
50.34,-74.67,89.84477
50.34,-74.67,88.26871
50.34,-74.67,92.81596
50.34,-74.67,83.19507
50.34,-74.67,83.81138
50.34,-74.67,83.64016
50.34,-74.67,83.2931
50.34,-74.67,75.55173
50.34,-74.67,92.84679
50.34,-74.67,91.08657
50.34,-74.67,98.70582
50.34,-74.67,85.87468
50.34,-74.67,87.4562
50.34,-74.67,87.1999
50.34,-74.67,88.14742
50.34,-74.67,91.68453
50.34,-74.67,79.97948
50.34,-74.67,97.29129
50.34,-74.67,76.14393
50.34,-74.67,80.72005
50.34,-74.67,84.13644
50.34,-74.67,91.71059
50.34,-74.67,82.02819
50.34,-74.67,86.90225
50.34,-74.67,93.44739
50.34,-74.67,94.13866
50.34,-74.67,88.84193
50.34,-74.67,89.98393
50.34,-74.67,83.92678
50.34,-74.67,96.88181
50.34,-74.67,90.01833
50.34,-74.67,88.44656
50.34,-74.67,92.97916
50.34,-74.67,83.20852
50.34,-74.67,84.04346
50.34,-74.67,83.74551
50.34,-74.67,83.01103
50.34,-74.67,75.64084
50.34,-74.67,93.04453
50.32,-74.59,90.93214
50.32,-74.59,97.81266
50.32,-74.59,85.70998
50.32,-74.59,87.63312
50.32,-74.59,86.96162
50.32,-74.59,88.11208
50.32,-74.59,91.77706
50.32,-74.59,80.55995
50.32,-74.59,96.72265
50.32,-74.59,76.3493
50.32,-74.59,80.94618
50.32,-74.59,84.22292
50.32,-74.59,91.90167
50.32,-74.59,81.92106
50.32,-74.59,86.6863
50.32,-74.59,93.93394
50.32,-74.59,94.48422
50.32,-74.59,88.55095
50.32,-74.59,90.35411
50.32,-74.59,84.32939
50.32,-74.59,96.8178
50.32,-74.59,89.93162
50.32,-74.59,88.87174
50.32,-74.59,92.45221
50.32,-74.59,83.55472
50.32,-74.59,83.84764
50.32,-74.59,83.62233
50.32,-74.59,83.57212
50.32,-74.59,75.33693
50.32,-74.59,93.19118
50.32,-74.6,90.45429
50.32,-74.6,97.90633
50.32,-74.6,85.70624
50.32,-74.6,87.06575
50.32,-74.6,86.64744
50.32,-74.6,87.68066
50.32,-74.6,91.05417
50.32,-74.6,80.28716
50.32,-74.6,96.86659
50.32,-74.6,75.88761
50.32,-74.6,80.631
50.32,-74.6,84.07319
50.32,-74.6,91.30403
50.32,-74.6,81.69488
50.32,-74.6,86.55894
50.32,-74.6,93.65647
50.32,-74.6,93.09535
50.32,-74.6,87.97569
50.32,-74.6,89.15581
50.32,-74.6,83.9614
50.32,-74.6,96.46424
50.32,-74.6,89.05351
50.32,-74.6,88.10138
50.32,-74.6,92.16278
50.32,-74.6,83.02964
50.32,-74.6,83.18693
50.32,-74.6,82.93956
50.32,-74.6,83.27906
50.32,-74.6,74.9906
50.32,-74.6,92.31056
50.31,-74.6,90.32557
50.31,-74.6,97.7194
50.31,-74.6,85.55366
50.31,-74.6,86.87348
50.31,-74.6,86.56585
50.31,-74.6,87.6441
50.31,-74.6,90.89733
50.31,-74.6,80.10625
50.31,-74.6,96.7008
50.31,-74.6,75.56655
50.31,-74.6,80.49282
50.31,-74.6,84.58166
50.31,-74.6,91.12525
50.31,-74.6,81.62615
50.31,-74.6,86.52221
50.31,-74.6,93.49566
50.31,-74.6,92.9027
50.31,-74.6,87.88558
50.31,-74.6,89.01299
50.31,-74.6,83.77765
50.31,-74.6,96.17708
50.31,-74.6,88.89788
50.31,-74.6,87.94292
50.31,-74.6,92.48982
50.31,-74.6,82.87595
50.31,-74.6,83.0598
50.31,-74.6,82.7676
50.31,-74.6,83.07051
50.31,-74.6,74.93518
50.31,-74.6,92.16514
50.31,-74.61,90.59797
50.31,-74.61,98.18088
50.31,-74.61,85.64198
50.31,-74.61,87.62378
50.31,-74.61,86.59178
50.31,-74.61,87.72989
50.31,-74.61,91.42562
50.31,-74.61,80.15852
50.31,-74.61,96.61923
50.31,-74.61,76.24496
50.31,-74.61,80.63549
50.31,-74.61,84.33894
50.31,-74.61,91.47108
50.31,-74.61,81.7251
50.31,-74.61,86.60176
50.31,-74.61,93.48406
50.31,-74.61,94.37261
50.31,-74.61,88.07054
50.31,-74.61,89.92177
50.31,-74.61,83.8442
50.31,-74.61,96.62481
50.31,-74.61,89.49469
50.31,-74.61,88.60566
50.31,-74.61,92.58829
50.31,-74.61,83.22063
50.31,-74.61,83.63051
50.31,-74.61,83.46007
50.31,-74.61,83.26589
50.31,-74.61,75.48181
50.31,-74.61,92.74888
50.36,-74.46,91.59
50.36,-74.46,98.6413
50.36,-74.46,86.08287
50.36,-74.46,88.09486
50.36,-74.46,87.5058
50.36,-74.46,89.08766
50.36,-74.46,92.27505
50.36,-74.46,80.82803
50.36,-74.46,97.16831
50.36,-74.46,76.25869
50.36,-74.46,81.52423
50.36,-74.46,84.76314
50.36,-74.46,92.05799
50.36,-74.46,81.96293
50.36,-74.46,86.8844
50.36,-74.46,94.25256
50.36,-74.46,94.49544
50.36,-74.46,89.37904
50.36,-74.46,90.71456
50.36,-74.46,84.25108
50.36,-74.46,97.44371
50.36,-74.46,91.09571
50.36,-74.46,88.92372
50.36,-74.46,93.27819
50.36,-74.46,83.6662
50.36,-74.46,84.13903
50.36,-74.46,83.39633
50.36,-74.46,83.60138
50.36,-74.46,75.24047
50.36,-74.46,94.2054
50.36,-74.46,91.42294
50.36,-74.46,98.92891
50.36,-74.46,86.10228
50.36,-74.46,87.97465
50.36,-74.46,87.27653
50.36,-74.46,88.87292
50.36,-74.46,91.9913
50.36,-74.46,80.87503
50.36,-74.46,97.06919
50.36,-74.46,76.29172
50.36,-74.46,81.32923
50.36,-74.46,84.61385
50.36,-74.46,91.99618
50.36,-74.46,81.993
50.36,-74.46,87.09595
50.36,-74.46,94.17767
50.36,-74.46,95.24899
50.36,-74.46,89.40325
50.36,-74.46,90.58199
50.36,-74.46,84.22717
50.36,-74.46,97.33839
50.36,-74.46,91.00376
50.36,-74.46,89.2988
50.36,-74.46,93.17952
50.36,-74.46,84.03326
50.36,-74.46,84.07238
50.36,-74.46,83.61319
50.36,-74.46,83.83363
50.36,-74.46,75.13335
50.36,-74.46,93.97661
50.36,-74.46,91.25699
50.36,-74.46,99.15948
50.36,-74.46,86.01877
50.36,-74.46,87.89531
50.36,-74.46,87.17047
50.36,-74.46,88.85239
50.36,-74.46,91.81729
50.36,-74.46,81.19573
50.36,-74.46,97.3837
50.36,-74.46,76.16644
50.36,-74.46,81.26114
50.36,-74.46,84.38013
50.36,-74.46,91.87502
50.36,-74.46,81.93019
50.36,-74.46,86.83947
50.36,-74.46,94.12765
50.36,-74.46,95.07571
50.36,-74.46,89.21454
50.36,-74.46,90.41577
50.36,-74.46,84.41383
50.36,-74.46,97.14912
50.36,-74.46,90.82003
50.36,-74.46,89.17849
50.36,-74.46,93.02438
50.36,-74.46,84.00235
50.36,-74.46,84.02766
50.36,-74.46,83.50423
50.36,-74.46,83.85921
50.36,-74.46,74.87868
50.36,-74.46,93.68452
50.35,-74.46,91.03119
50.35,-74.46,98.68551
50.35,-74.46,85.72316
50.35,-74.46,88.17946
50.35,-74.46,87.20343
50.35,-74.46,88.25175
50.35,-74.46,91.36858
50.35,-74.46,80.71307
50.35,-74.46,97.32797
50.35,-74.46,76.07162
50.35,-74.46,80.8541
50.35,-74.46,84.34733
50.35,-74.46,92.07612
50.35,-74.46,81.89271
50.35,-74.46,87.07537
50.35,-74.46,94.55018
50.35,-74.46,94.51474
50.35,-74.46,88.63398
50.35,-74.46,90.37144
50.35,-74.46,83.79536
50.35,-74.46,97.0805
50.35,-74.46,90.01088
50.35,-74.46,88.53845
50.35,-74.46,92.74264
50.35,-74.46,83.3798
50.35,-74.46,83.76153
50.35,-74.46,82.95781
50.35,-74.46,83.51145
50.35,-74.46,75.44273
50.35,-74.46,93.11894
50.35,-74.46,90.84452
50.35,-74.46,98.65588
50.35,-74.46,85.67309
50.35,-74.46,88.0797
50.35,-74.46,87.1041
50.35,-74.46,88.06835
50.35,-74.46,91.22111
50.35,-74.46,80.51704
50.35,-74.46,97.1962
50.35,-74.46,75.84522
50.35,-74.46,80.75858
50.35,-74.46,84.1928
50.35,-74.46,91.89703
50.35,-74.46,82.12593
50.35,-74.46,86.92672
50.35,-74.46,94.34168
50.35,-74.46,94.38533
50.35,-74.46,88.51364
50.35,-74.46,90.18714
50.35,-74.46,83.62773
50.35,-74.46,96.91869
50.35,-74.46,89.72976
50.35,-74.46,88.4724
50.35,-74.46,92.5304
50.35,-74.46,83.40841
50.35,-74.46,83.66118
50.35,-74.46,82.81962
50.35,-74.46,83.37986
50.35,-74.46,75.42085
50.35,-74.46,92.85826
50.24,-75.33,88.69646
50.24,-75.33,93.91759
50.24,-75.33,83.69383
50.24,-75.33,84.10021
50.24,-75.33,84.63927
50.24,-75.33,85.53894
50.24,-75.33,89.68399
50.24,-75.33,78.15148
50.24,-75.33,93.7135
50.24,-75.33,73.16587
50.24,-75.33,78.26086
50.24,-75.33,81.92898
50.24,-75.33,87.91115
50.24,-75.33,80.17663
50.24,-75.33,84.43656
50.24,-75.33,90.55936
50.24,-75.33,91.68001
50.24,-75.33,87.14508
50.24,-75.33,87.61977
50.24,-75.33,82.15176
50.24,-75.33,94.70499
50.24,-75.33,87.23802
50.24,-75.33,86.7419
50.24,-75.33,90.26251
50.24,-75.33,81.38233
50.24,-75.33,82.10565
50.24,-75.33,80.99802
50.24,-75.33,80.55727
50.24,-75.33,73.66101
50.24,-75.33,90.20782
50.23,-75.33,88.67352
50.23,-75.33,93.89394
50.23,-75.33,83.69701
50.23,-75.33,84.06617
50.23,-75.33,84.65681
50.23,-75.33,85.51978
50.23,-75.33,89.67431
50.23,-75.33,78.19954
50.23,-75.33,93.73764
50.23,-75.33,73.1844
50.23,-75.33,78.27472
50.23,-75.33,81.91401
50.23,-75.33,87.81632
50.23,-75.33,80.1786
50.23,-75.33,84.45913
50.23,-75.33,90.53621
50.23,-75.33,91.62392
50.23,-75.33,87.2389
50.23,-75.33,87.58815
50.23,-75.33,82.14275
50.23,-75.33,94.67773
50.23,-75.33,87.21571
50.23,-75.33,86.70104
50.23,-75.33,90.22735
50.23,-75.33,81.36284
50.23,-75.33,82.04207
50.23,-75.33,80.98401
50.23,-75.33,80.63943
50.23,-75.33,73.7375
50.23,-75.33,89.81498
50.23,-75.33,88.67352
50.23,-75.33,93.89394
50.23,-75.33,83.69701
50.23,-75.33,84.06617
50.23,-75.33,84.65681
50.23,-75.33,85.51978
50.23,-75.33,89.67431
50.23,-75.33,78.19954
50.23,-75.33,93.73764
50.23,-75.33,73.1844
50.23,-75.33,78.27472
50.23,-75.33,81.91401
50.23,-75.33,87.81632
50.23,-75.33,80.1786
50.23,-75.33,84.45913
50.23,-75.33,90.53621
50.23,-75.33,91.62392
50.23,-75.33,87.2389
50.23,-75.33,87.58815
50.23,-75.33,82.14275
50.23,-75.33,94.67773
50.23,-75.33,87.21571
50.23,-75.33,86.70104
50.23,-75.33,90.22735
50.23,-75.33,81.36284
50.23,-75.33,82.04207
50.23,-75.33,80.98401
50.23,-75.33,80.63943
50.23,-75.33,73.7375
50.23,-75.33,89.81498
50.23,-75.33,88.69381
50.23,-75.33,93.78802
50.23,-75.33,83.55015
50.23,-75.33,84.42181
50.23,-75.33,84.52932
50.23,-75.33,85.40167
50.23,-75.33,89.58012
50.23,-75.33,78.0955
50.23,-75.33,93.64732
50.23,-75.33,73.11732
50.23,-75.33,78.14043
50.23,-75.33,81.79327
50.23,-75.33,88.0477
50.23,-75.33,80.0446
50.23,-75.33,84.34087
50.23,-75.33,90.3921
50.23,-75.33,91.52356
50.23,-75.33,87.12797
50.23,-75.33,87.45541
50.23,-75.33,82.17176
50.23,-75.33,94.54945
50.23,-75.33,87.12463
50.23,-75.33,86.60675
50.23,-75.33,90.15185
50.23,-75.33,81.23123
50.23,-75.33,82.34778
50.23,-75.33,80.88116
50.23,-75.33,80.50007
50.23,-75.33,73.58526
50.23,-75.33,90.01944
50.17,-75.35,88.77221
50.17,-75.35,93.15932
50.17,-75.35,83.58671
50.17,-75.35,84.0228
50.17,-75.35,84.46873
50.17,-75.35,85.34034
50.17,-75.35,89.64515
50.17,-75.35,77.78321
50.17,-75.35,93.60668
50.17,-75.35,72.99508
50.17,-75.35,78.02028
50.17,-75.35,81.7685
50.17,-75.35,87.1775
50.17,-75.35,79.65175
50.17,-75.35,83.92732
50.17,-75.35,90.52701
50.17,-75.35,91.45044
50.17,-75.35,87.10066
50.17,-75.35,87.37987
50.17,-75.35,81.97674
50.17,-75.35,94.28305
50.17,-75.35,87.18818
50.17,-75.35,86.72
50.17,-75.35,90.14177
50.17,-75.35,81.57364
50.17,-75.35,82.0173
50.17,-75.35,80.59584
50.17,-75.35,80.36428
50.17,-75.35,73.30303
50.17,-75.35,89.65138
50.17,-75.34,88.29093
50.17,-75.34,93.17528
50.17,-75.34,83.15503
50.17,-75.34,83.9962
50.17,-75.34,84.00187
50.17,-75.34,84.82579
50.17,-75.34,89.32928
50.17,-75.34,77.80258
50.17,-75.34,93.22436
50.17,-75.34,72.95564
50.17,-75.34,77.67989
50.17,-75.34,81.59529
50.17,-75.34,87.57744
50.17,-75.34,79.63226
50.17,-75.34,83.91784
50.17,-75.34,90.27081
50.17,-75.34,91.03484
50.17,-75.34,86.77189
50.17,-75.34,86.95666
50.17,-75.34,81.59722
50.17,-75.34,94.19657
50.17,-75.34,86.89386
50.17,-75.34,86.25112
50.17,-75.34,89.90673
50.17,-75.34,81.03171
50.17,-75.34,81.88392
50.17,-75.34,80.41383
50.17,-75.34,80.09409
50.17,-75.34,73.30357
50.17,-75.34,89.88628
50.17,-75.14,89.20394
50.17,-75.14,94.42803
50.17,-75.14,84.13419
50.17,-75.14,84.9827
50.17,-75.14,85.03149
50.17,-75.14,86.15269
50.17,-75.14,90.49386
50.17,-75.14,78.56024
50.17,-75.14,94.42159
50.17,-75.14,73.93747
50.17,-75.14,78.63826
50.17,-75.14,82.73464
50.17,-75.14,88.00609
50.17,-75.14,80.5851
50.17,-75.14,85.43752
50.17,-75.14,91.38821
50.17,-75.14,92.29604
50.17,-75.14,87.60745
50.17,-75.14,88.33474
50.17,-75.14,82.76786
50.17,-75.14,95.38475
50.17,-75.14,87.90732
50.17,-75.14,87.5796
50.17,-75.14,90.9553
50.17,-75.14,81.75086
50.17,-75.14,82.543
50.17,-75.14,81.84133
50.17,-75.14,81.46346
50.17,-75.14,74.02831
50.17,-75.14,91.34906
50.18,-74.99,89.47472
50.18,-74.99,94.71763
50.18,-74.99,84.48541
50.18,-74.99,85.21338
50.18,-74.99,85.28885
50.18,-74.99,86.44262
50.18,-74.99,90.36353
50.18,-74.99,78.94279
50.18,-74.99,94.68184
50.18,-74.99,73.6973
50.18,-74.99,78.86826
50.18,-74.99,82.94802
50.18,-74.99,88.29158
50.18,-74.99,80.84684
50.18,-74.99,85.35238
50.18,-74.99,91.24808
50.18,-74.99,92.56876
50.18,-74.99,87.88555
50.18,-74.99,88.44588
50.18,-74.99,82.96749
50.18,-74.99,95.23383
50.18,-74.99,87.99524
50.18,-74.99,87.65634
50.18,-74.99,91.21389
50.18,-74.99,81.86043
50.18,-74.99,82.79428
50.18,-74.99,82.08751
50.18,-74.99,81.77517
50.18,-74.99,74.20808
50.18,-74.99,91.48236
50.13,-74.95,89.2973
50.13,-74.95,94.67542
50.13,-74.95,84.24647
50.13,-74.95,84.1873
50.13,-74.95,84.79621
50.13,-74.95,85.72107
50.13,-74.95,90.00909
50.13,-74.95,78.52122
50.13,-74.95,94.3175
50.13,-74.95,73.2192
50.13,-74.95,78.66191
50.13,-74.95,82.63689
50.13,-74.95,87.84389
50.13,-74.95,80.41364
50.13,-74.95,84.68362
50.13,-74.95,91.09914
50.13,-74.95,92.39866
50.13,-74.95,87.60322
50.13,-74.95,88.32639
50.13,-74.95,82.65188
50.13,-74.95,94.78845
50.13,-74.95,87.79335
50.13,-74.95,87.60396
50.13,-74.95,90.87479
50.13,-74.95,81.35792
50.13,-74.95,82.63568
50.13,-74.95,81.68097
50.13,-74.95,81.10353
50.13,-74.95,73.79242
50.13,-74.95,90.55176
50.14,-74.96,89.41451
50.14,-74.96,94.8741
50.14,-74.96,84.24089
50.14,-74.96,84.57662
50.14,-74.96,85.43458
50.14,-74.96,86.57586
50.14,-74.96,90.78499
