Annee,DateRap,JA,Comb,iLat,iLon,INT,Domaine,Rgn_ecolo,Dates,Month,Numero
1994,06/05/1994 14:20,1,O1A,48.39279938,-72.01689911,,5,5d,06/05/1994,06-May-94,39
1994,05/05/1994 14:32,1,D1,46.87670135,-72.3431015,145,3,3c,05/05/1994,05-May-94,40
1994,05/05/1994 20:05,0,D1,46.53079987,-72.76940155,53,2,2b,05/05/1994,05-May-94,41
1994,06/05/1994 18:01,1,O1A,48.30580139,-72.1128006,,5,5d,06/05/1994,06-May-94,42
1994,06/05/1994 15:00,1,AU,48.43470001,-72.07939911,,4,4e,06/05/1994,06-May-94,43
1994,06/05/1994 15:00,1,O1A,48.42309952,-72.05500031,,4,4e,06/05/1994,06-May-94,44
1994,06/05/1994 15:00,1,AU,48.44829941,-72.14109802,,4,4e,06/05/1994,06-May-94,45
1994,06/05/1994 15:00,1,O1A,48.4239006,-72.05919647,,4,4e,06/05/1994,06-May-94,46
1994,06/05/1994 14:24,1,M1,45.81309891,-70.61139679,501,3,3d,06/05/1994,06-May-94,47
1994,07/05/1994 11:10,1,O1A,46.37580109,-75.94390106,432,2,2a,07/05/1994,07-May-94,48
1994,03/05/1994 13:55,1,M1,45.91529846,-74.12809753,1,3,3c,03/05/1994,03-May-94,49
1994,03/05/1994 13:55,2,M1,45.91529846,-74.12809753,51,3,3c,03/05/1994,03-May-94,49
1994,03/05/1994 13:55,3,M1,45.91529846,-74.12809753,194,3,3c,03/05/1994,03-May-94,49
1994,03/05/1994 13:55,4,M1,45.91529846,-74.12809753,251,3,3c,03/05/1994,03-May-94,49
1994,03/05/1994 13:55,5,M1,45.91529846,-74.12809753,107,3,3c,03/05/1994,03-May-94,49
1994,07/05/1994 10:43,1,C2,47.72610092,-79.31330109,496,4,4a,07/05/1994,07-May-94,50
1994,07/05/1994 13:40,1,C2,46.59329987,-72.63809967,1341,2,2b,07/05/1994,07-May-94,51
1994,07/05/1994 13:40,2,C2,46.59329987,-72.63809967,465,2,2b,07/05/1994,07-May-94,51
1994,07/05/1994 15:47,1,AU,48.67219925,-71.79810333,,4,4e,07/05/1994,07-May-94,52
1994,07/05/1994 15:47,2,AU,48.67219925,-71.79810333,,4,4e,07/05/1994,07-May-94,52
1994,07/05/1994 15:14,1,O1A,48.47439957,-71.21749878,,4,4e,07/05/1994,07-May-94,53
1994,07/05/1994 15:14,2,O1A,48.47439957,-71.21749878,,4,4e,07/05/1994,07-May-94,53
1994,07/05/1994 16:10,1,AU,48.77809906,-71.91419983,,4,4e,07/05/1994,07-May-94,54
1994,07/05/1994 16:10,2,AU,48.77809906,-71.91419983,,4,4e,07/05/1994,07-May-94,54
