Latitude,Longitude,TMax 
50.36,-74.46,-5.581
50.36,-74.46,-5.889
50.36,-74.46,-5.37
50.36,-74.46,-5.096
50.36,-74.46,-4.766
50.35,-74.46,-6.645
50.35,-74.46,-5.376
50.35,-74.46,-6.418
50.35,-74.46,-6.289
50.35,-74.46,-7.067
50.35,-74.46,-5.074
50.35,-74.46,-6.368
50.35,-74.46,-6.375
50.35,-74.46,-4.949
50.35,-74.46,-6.203
50.35,-74.46,-5.752
50.35,-74.46,-4.793
50.35,-74.46,-5.048
50.35,-74.46,-5.568
50.35,-74.46,-6.595
50.35,-74.46,-4.509
50.35,-74.46,-7.511
50.35,-74.46,-6.224
50.35,-74.46,-6.31
50.35,-74.46,-5.725
50.35,-74.46,-5.952
50.35,-74.46,-6.344
50.35,-74.46,-6.902
50.35,-74.46,-6.925
50.35,-74.46,-6.354
50.35,-74.46,-5.613
50.35,-74.46,-5.922
50.35,-74.46,-5.402
50.35,-74.46,-5.129
50.35,-74.46,-4.799
50.35,-74.46,-6.658
50.35,-74.46,-5.389
50.35,-74.46,-6.431
50.35,-74.46,-6.302
50.35,-74.46,-7.08
50.35,-74.46,-5.087
50.35,-74.46,-6.381
50.35,-74.46,-6.388
50.35,-74.46,-4.962
50.35,-74.46,-6.215
50.35,-74.46,-5.765
50.35,-74.46,-4.805
50.35,-74.46,-5.061
50.35,-74.46,-5.581
50.35,-74.46,-6.608
50.35,-74.46,-4.522
50.35,-74.46,-7.524
50.35,-74.46,-6.237
50.35,-74.46,-6.323
50.35,-74.46,-5.738
50.35,-74.46,-5.964
50.35,-74.46,-6.357
50.35,-74.46,-6.915
50.35,-74.46,-6.937
50.35,-74.46,-6.367
50.35,-74.46,-5.626
50.35,-74.46,-5.935
50.35,-74.46,-5.415
50.35,-74.46,-5.142
50.35,-74.46,-4.811
50.24,-75.33,-6.708
50.24,-75.33,-5.363
50.24,-75.33,-6.47
50.24,-75.33,-6.316
50.24,-75.33,-7.124
50.24,-75.33,-5.075
50.24,-75.33,-6.397
50.24,-75.33,-6.406
50.24,-75.33,-4.947
50.24,-75.33,-6.251
50.24,-75.33,-5.788
50.24,-75.33,-4.795
50.24,-75.33,-5.065
50.24,-75.33,-5.602
50.24,-75.33,-6.656
50.24,-75.33,-4.497
50.24,-75.33,-7.605
50.24,-75.33,-6.261
50.24,-75.33,-6.345
50.24,-75.33,-5.742
50.24,-75.33,-5.994
50.24,-75.33,-6.378
50.24,-75.33,-6.977
50.24,-75.33,-6.975
50.24,-75.33,-6.417
50.24,-75.33,-5.631
50.24,-75.33,-5.942
50.24,-75.33,-5.406
50.24,-75.33,-5.162
50.24,-75.33,-4.792
50.23,-75.33,-6.7
50.23,-75.33,-5.354
50.23,-75.33,-6.462
50.23,-75.33,-6.308
50.23,-75.33,-7.116
50.23,-75.33,-5.067
50.23,-75.33,-6.388
50.23,-75.33,-6.398
50.23,-75.33,-4.939
50.23,-75.33,-6.243
50.23,-75.33,-5.78
50.23,-75.33,-4.786
50.23,-75.33,-5.057
50.23,-75.33,-5.594
50.23,-75.33,-6.649
50.23,-75.33,-4.489
50.23,-75.33,-7.597
50.23,-75.33,-6.253
50.23,-75.33,-6.337
50.23,-75.33,-5.734
50.23,-75.33,-5.986
50.23,-75.33,-6.37
50.23,-75.33,-6.969
50.23,-75.33,-6.967
50.23,-75.33,-6.409
50.23,-75.33,-5.623
50.23,-75.33,-5.935
50.23,-75.33,-5.397
50.23,-75.33,-5.154
50.23,-75.33,-4.784
50.23,-75.33,-6.7
50.23,-75.33,-5.354
50.23,-75.33,-6.462
50.23,-75.33,-6.308
50.23,-75.33,-7.116
50.23,-75.33,-5.067
50.23,-75.33,-6.388
50.23,-75.33,-6.398
50.23,-75.33,-4.939
50.23,-75.33,-6.243
50.23,-75.33,-5.78
50.23,-75.33,-4.786
50.23,-75.33,-5.057
50.23,-75.33,-5.594
50.23,-75.33,-6.649
50.23,-75.33,-4.489
50.23,-75.33,-7.597
50.23,-75.33,-6.253
50.23,-75.33,-6.337
50.23,-75.33,-5.734
50.23,-75.33,-5.986
50.23,-75.33,-6.37
50.23,-75.33,-6.969
50.23,-75.33,-6.967
50.23,-75.33,-6.409
50.23,-75.33,-5.623
50.23,-75.33,-5.935
50.23,-75.33,-5.397
50.23,-75.33,-5.154
50.23,-75.33,-4.784
50.23,-75.33,-6.714
50.23,-75.33,-5.368
50.23,-75.33,-6.477
50.23,-75.33,-6.323
50.23,-75.33,-7.13
50.23,-75.33,-5.081
50.23,-75.33,-6.403
50.23,-75.33,-6.412
