Latitude,Longitude,TMax 
50.35,-74.67,-9.458
50.35,-74.67,-8.784
50.35,-74.67,-7.326
50.35,-74.67,-8.333
50.35,-74.67,-7.102
50.35,-74.67,-6.642
50.35,-74.67,-7.981
50.35,-74.67,-7.331
50.35,-74.67,-7.761
50.35,-74.67,-9.109
50.35,-74.67,-8.632
50.35,-74.67,-7.403
50.35,-74.67,-6.912
50.35,-74.67,-7.274
50.35,-74.67,-9.143
50.35,-74.67,-7.786
50.35,-74.67,-7.312
50.35,-74.67,-8.135
50.35,-74.67,-7.058
50.35,-74.67,-8.367
50.34,-74.67,-8.705
50.34,-74.67,-7.918
50.34,-74.67,-7.764
50.34,-74.67,-6.52
50.34,-74.67,-7.756
50.34,-74.67,-7.984
50.34,-74.67,-9.228
50.34,-74.67,-7.775
50.34,-74.67,-7.35
50.34,-74.67,-9.26
50.34,-74.67,-9.442
50.34,-74.67,-8.766
50.34,-74.67,-7.308
50.34,-74.67,-8.316
50.34,-74.67,-7.085
50.34,-74.67,-6.624
50.34,-74.67,-7.963
50.34,-74.67,-7.313
50.34,-74.67,-7.743
50.34,-74.67,-9.092
50.34,-74.67,-8.614
50.34,-74.67,-7.386
50.34,-74.67,-6.895
50.34,-74.67,-7.256
50.34,-74.67,-9.126
50.34,-74.67,-7.769
50.34,-74.67,-7.295
50.34,-74.67,-8.117
50.34,-74.67,-7.04
50.34,-74.67,-8.35
50.34,-74.67,-8.697
50.34,-74.67,-7.91
50.34,-74.67,-7.756
50.34,-74.67,-6.512
50.34,-74.67,-7.748
50.34,-74.67,-7.976
50.34,-74.67,-9.219
50.34,-74.67,-7.767
50.34,-74.67,-7.342
50.34,-74.67,-9.252
50.34,-74.67,-9.433
50.34,-74.67,-8.758
50.34,-74.67,-7.3
50.34,-74.67,-8.308
50.34,-74.67,-7.077
50.34,-74.67,-6.615
50.34,-74.67,-7.954
50.34,-74.67,-7.305
50.34,-74.67,-7.735
50.34,-74.67,-9.084
50.34,-74.67,-8.606
50.34,-74.67,-7.377
50.34,-74.67,-6.887
50.34,-74.67,-7.248
50.34,-74.67,-9.117
50.34,-74.67,-7.76
50.34,-74.67,-7.287
50.34,-74.67,-8.109
50.34,-74.67,-7.032
50.34,-74.67,-8.341
50.34,-74.67,-8.689
50.34,-74.67,-7.901
50.34,-74.67,-7.747
50.34,-74.67,-6.504
50.34,-74.67,-7.74
50.34,-74.67,-7.968
50.34,-74.67,-9.211
50.34,-74.67,-7.758
50.34,-74.67,-7.334
50.34,-74.67,-9.243
50.34,-74.67,-9.425
50.34,-74.67,-8.75
50.34,-74.67,-7.291
50.34,-74.67,-8.299
50.34,-74.67,-7.068
50.34,-74.67,-6.607
50.34,-74.67,-7.946
50.34,-74.67,-7.296
50.34,-74.67,-7.726
50.34,-74.67,-9.076
50.34,-74.67,-8.597
50.34,-74.67,-7.369
50.34,-74.67,-6.878
