Latitude,Longitude,DC
50.34,-74.67,74.41766
50.34,-74.67,83.36671
50.34,-74.67,77.60278
50.34,-74.67,78.92223
50.34,-74.67,89.10118
50.34,-74.67,79.05744
50.34,-74.67,83.39427
50.34,-74.67,80.11932
50.34,-74.67,86.64812
50.34,-74.67,93.49119
50.34,-74.67,82.75074
50.34,-74.67,79.76729
50.34,-74.67,86.66983
50.34,-74.67,85.26698
50.34,-74.67,89.71497
50.34,-74.67,76.41458
50.34,-74.67,92.68811
50.34,-74.67,74.96799
50.34,-74.67,82.67393
50.34,-74.67,86.76567
50.34,-74.67,83.4159
50.34,-74.67,90.43889
50.34,-74.67,78.71613
50.34,-74.67,86.28627
50.34,-74.67,77.08802
50.34,-74.67,92.6156
50.34,-74.67,74.35704
50.34,-74.67,84.83217
50.34,-74.67,89.61077
50.34,-74.67,85.21138
50.34,-74.67,74.35159
50.34,-74.67,83.16832
50.34,-74.67,77.74217
50.34,-74.67,78.7744
50.34,-74.67,89.21274
50.34,-74.67,78.9968
50.34,-74.67,83.09968
50.34,-74.67,80.24666
50.34,-74.67,85.97246
50.34,-74.67,93.60292
50.34,-74.67,82.90765
50.34,-74.67,79.77455
50.34,-74.67,86.81734
50.34,-74.67,85.46733
50.34,-74.67,89.82148
50.34,-74.67,76.5441
50.34,-74.67,92.28823
50.34,-74.67,75.03147
50.34,-74.67,82.79184
50.34,-74.67,86.88746
50.34,-74.67,83.51093
50.34,-74.67,90.51837
50.34,-74.67,78.79786
50.34,-74.67,86.45362
50.34,-74.67,77.31841
50.34,-74.67,92.48807
50.34,-74.67,74.51868
50.34,-74.67,84.56594
50.34,-74.67,89.86197
50.34,-74.67,85.36628
50.34,-74.67,74.41954
50.34,-74.67,83.23337
50.34,-74.67,77.89425
50.34,-74.67,78.66678
50.34,-74.67,88.75978
50.34,-74.67,78.94877
50.34,-74.67,83.10368
50.34,-74.67,80.04512
50.34,-74.67,85.90975
50.34,-74.67,93.43982
50.34,-74.67,83.00713
50.34,-74.67,79.91361
50.34,-74.67,86.23917
50.34,-74.67,85.53762
50.34,-74.67,89.9692
50.34,-74.67,76.41006
50.34,-74.67,92.35552
50.34,-74.67,74.87654
50.34,-74.67,82.9358
50.34,-74.67,87.05731
50.34,-74.67,83.60633
50.34,-74.67,90.35901
50.34,-74.67,78.93959
50.34,-74.67,86.56417
50.34,-74.67,77.38805
50.34,-74.67,92.15915
50.34,-74.67,74.59109
50.32,-74.59,84.41871
50.32,-74.59,90.24
50.32,-74.59,85.09167
50.32,-74.59,74.77554
50.32,-74.59,83.04514
50.32,-74.59,77.79791
50.32,-74.59,79.14956
50.32,-74.59,88.99419
50.32,-74.59,79.08485
50.32,-74.59,82.0606
50.32,-74.59,80.46492
50.32,-74.59,86.1262
50.32,-74.59,93.74133
50.32,-74.59,83.24048
50.32,-74.59,79.93482
50.32,-74.59,86.86584
50.32,-74.59,85.82214
50.32,-74.59,88.82876
50.32,-74.59,76.79658
50.32,-74.59,92.36042
50.32,-74.59,75.35285
50.32,-74.59,83.03475
50.32,-74.59,87.65454
50.32,-74.59,83.77699
50.32,-74.59,90.44077
50.32,-74.59,78.78782
50.32,-74.59,86.702
50.32,-74.59,77.83937
50.32,-74.59,92.25634
50.32,-74.59,75.02561
50.32,-74.6,84.48395
50.32,-74.6,89.36658
50.32,-74.6,84.75387
50.32,-74.6,74.4528
50.32,-74.6,82.38154
50.32,-74.6,77.23122
50.32,-74.6,78.55096
50.32,-74.6,88.86504
50.32,-74.6,78.89139
50.32,-74.6,82.43532
50.32,-74.6,80.35694
50.32,-74.6,86.31415
50.32,-74.6,93.38946
50.32,-74.6,83.00677
50.32,-74.6,79.16437
50.32,-74.6,86.90727
50.32,-74.6,85.15511
50.32,-74.6,88.37226
50.32,-74.6,76.25269
50.32,-74.6,91.92527
50.32,-74.6,74.56612
50.32,-74.6,82.57991
50.32,-74.6,87.0336
50.32,-74.6,83.19932
50.32,-74.6,90.1598
50.32,-74.6,77.80303
50.32,-74.6,86.13499
50.32,-74.6,77.04939
50.32,-74.6,92.45785
50.32,-74.6,74.63397
50.31,-74.6,84.66562
50.31,-74.6,89.3212
50.31,-74.6,84.56366
50.31,-74.6,74.47865
50.31,-74.6,82.15581
50.31,-74.6,77.04148
50.31,-74.6,78.41609
50.31,-74.6,88.97799
50.31,-74.6,78.79705
50.31,-74.6,82.18086
50.31,-74.6,80.22724
50.31,-74.6,86.6227
50.31,-74.6,93.11721
50.31,-74.6,82.85669
50.31,-74.6,79.00402
50.31,-74.6,86.7497
50.31,-74.6,84.95211
50.31,-74.6,88.24313
50.31,-74.6,76.38756
50.31,-74.6,91.73048
50.31,-74.6,74.47698
50.31,-74.6,82.35
50.31,-74.6,86.79792
50.31,-74.6,83.06518
50.31,-74.6,90.01589
50.31,-74.6,78.70034
50.31,-74.6,85.98234
50.31,-74.6,77.04216
50.31,-74.6,92.22433
50.31,-74.6,74.45116
50.31,-74.61,84.50135
50.31,-74.61,89.76489
50.31,-74.61,85.01181
50.31,-74.61,74.30318
50.31,-74.61,82.82876
50.31,-74.61,77.46186
50.31,-74.61,78.70801
50.31,-74.61,89.10607
50.31,-74.61,78.83326
50.31,-74.61,81.67751
50.31,-74.61,80.40005
50.31,-74.61,86.31896
50.31,-74.61,93.70815
50.31,-74.61,82.95267
50.31,-74.61,79.82328
50.31,-74.61,86.88631
50.31,-74.61,85.45623
50.31,-74.61,88.71902
50.31,-74.61,76.52514
50.31,-74.61,92.25795
50.31,-74.61,74.91557
50.31,-74.61,82.7366
50.31,-74.61,87.38875
50.31,-74.61,82.90455
50.31,-74.61,90.05602
50.31,-74.61,78.11868
50.31,-74.61,86.37682
50.31,-74.61,77.09691
50.31,-74.61,91.99479
50.31,-74.61,74.6447
50.36,-74.46,85.35198
50.36,-74.46,90.71767
50.36,-74.46,85.68143
50.36,-74.46,75.15337
50.36,-74.46,83.86455
50.36,-74.46,78.49011
50.36,-74.46,79.66152
50.36,-74.46,89.71731
50.36,-74.46,79.93092
50.36,-74.46,82.80065
50.36,-74.46,82.30283
50.36,-74.46,86.84224
50.36,-74.46,94.25433
50.36,-74.46,84.19119
50.36,-74.46,80.40615
50.36,-74.46,87.31697
50.36,-74.46,86.40636
