Latitude,Longitude,DC
50.35,-74.67,77.06458
50.35,-74.67,83.71492
50.35,-74.67,72.78486
50.35,-74.67,79.4268
50.35,-74.67,81.68481
50.35,-74.67,86.91821
50.35,-74.67,75.2646
50.35,-74.67,75.88249
50.35,-74.67,79.0037
50.35,-74.67,91.36789
50.35,-74.67,88.72168
50.35,-74.67,83.07399
50.35,-74.67,86.68845
50.35,-74.67,77.468
50.35,-74.67,92.55775
50.35,-74.67,81.59895
50.35,-74.67,93.50202
50.35,-74.67,82.03589
50.35,-74.67,86.75173
50.35,-74.67,81.98116
50.35,-74.67,83.69312
50.35,-74.67,77.17166
50.35,-74.67,93.6738
50.35,-74.67,87.71066
50.35,-74.67,83.48126
50.35,-74.67,85.45255
50.35,-74.67,80.25351
50.35,-74.67,86.03669
50.35,-74.67,83.57948
50.35,-74.67,68.24774
50.35,-74.67,77.03948
50.35,-74.67,83.70013
50.35,-74.67,73.03446
50.35,-74.67,79.40294
50.35,-74.67,81.66035
50.35,-74.67,86.93572
50.35,-74.67,75.25865
50.35,-74.67,75.86322
50.35,-74.67,79.01318
50.35,-74.67,91.34101
50.35,-74.67,88.69488
50.35,-74.67,83.04964
50.35,-74.67,86.68083
50.35,-74.67,77.43501
50.35,-74.67,92.52843
50.35,-74.67,81.57326
50.35,-74.67,93.47472
50.35,-74.67,82.0074
50.35,-74.67,86.73739
50.35,-74.67,81.96113
50.35,-74.67,83.69575
50.35,-74.67,77.17356
50.35,-74.67,93.64573
50.35,-74.67,87.69514
50.35,-74.67,83.54415
50.35,-74.67,85.43258
50.35,-74.67,80.22617
50.35,-74.67,86.05757
50.35,-74.67,83.56716
50.34,-74.67,68.38576
50.34,-74.67,77.18832
50.34,-74.67,83.89847
50.34,-74.67,72.94918
50.34,-74.67,79.55721
50.34,-74.67,81.8015
50.34,-74.67,86.81318
50.34,-74.67,75.33322
50.34,-74.67,75.95769
50.34,-74.67,79.18281
50.34,-74.67,91.21839
50.34,-74.67,88.55716
50.34,-74.67,83.20973
50.34,-74.67,86.88581
50.34,-74.67,77.38292
50.34,-74.67,92.70101
50.34,-74.67,81.05587
50.34,-74.67,93.63412
50.34,-74.67,82.17152
50.34,-74.67,86.90936
50.34,-74.67,82.0292
50.34,-74.67,83.77607
50.34,-74.67,77.29366
50.34,-74.67,93.90833
50.34,-74.67,87.85292
50.34,-74.67,83.69592
50.34,-74.67,85.59831
50.34,-74.67,79.80507
50.34,-74.67,86.13997
50.34,-74.67,83.71959
50.34,-74.67,68.47478
50.34,-74.67,77.29232
50.34,-74.67,84.05963
50.34,-74.67,73.07525
50.34,-74.67,79.61217
50.34,-74.67,81.97882
50.34,-74.67,86.95986
50.34,-74.67,75.40238
50.34,-74.67,76.03327
50.34,-74.67,78.67533
50.34,-74.67,91.30764
50.34,-74.67,88.6709
50.34,-74.67,83.18241
50.34,-74.67,86.51682
50.34,-74.67,77.49813
50.34,-74.67,92.75804
50.34,-74.67,81.10411
50.34,-74.67,93.73985
50.34,-74.67,82.29713
50.34,-74.67,86.98999
50.34,-74.67,82.14272
50.34,-74.67,83.60383
50.34,-74.67,77.44948
50.34,-74.67,94.0899
50.34,-74.67,88.03223
50.34,-74.67,83.8309
50.34,-74.67,85.72387
50.34,-74.67,79.93123
50.34,-74.67,86.28052
50.34,-74.67,83.8157
50.34,-74.67,68.57706
50.34,-74.67,77.32385
50.34,-74.67,83.20507
50.34,-74.67,73.02126
50.34,-74.67,79.73963
50.34,-74.67,81.6183
50.34,-74.67,86.67747
50.34,-74.67,75.18538
50.34,-74.67,76.10488
50.34,-74.67,78.7804
50.34,-74.67,91.12732
50.34,-74.67,88.79373
50.34,-74.67,83.22989
50.34,-74.67,86.65462
50.34,-74.67,77.61066
50.34,-74.67,92.81552
50.34,-74.67,81.20488
50.34,-74.67,93.87647
50.34,-74.67,82.38073
50.34,-74.67,87.1719
50.34,-74.67,81.91086
50.34,-74.67,83.65493
50.34,-74.67,77.17099
50.34,-74.67,94.23996
50.34,-74.67,88.0168
50.34,-74.67,83.93988
50.34,-74.67,85.40358
50.34,-74.67,80.03511
50.34,-74.67,86.34511
50.34,-74.67,83.62808
50.32,-74.59,69.15294
50.32,-74.59,77.25173
50.32,-74.59,82.73332
50.32,-74.59,73.07018
50.32,-74.59,79.73023
50.32,-74.59,81.30209
50.32,-74.59,87.12018
50.32,-74.59,74.35667
50.32,-74.59,76.07856
50.32,-74.59,78.67814
50.32,-74.59,91.15972
50.32,-74.59,89.12647
50.32,-74.59,84.00523
50.32,-74.59,87.28524
50.32,-74.59,77.88712
50.32,-74.59,92.9061
50.32,-74.59,82.12975
50.32,-74.59,94.3036
50.32,-74.59,82.55466
50.32,-74.59,86.60858
50.32,-74.59,82.50485
50.32,-74.59,83.69127
50.32,-74.59,77.15249
50.32,-74.59,94.35778
50.32,-74.59,86.95643
50.32,-74.59,83.63871
50.32,-74.59,85.43156
50.32,-74.59,80.80597
50.32,-74.59,86.49406
50.32,-74.59,84.54061
50.32,-74.6,68.81778
50.32,-74.6,76.92525
50.32,-74.6,83.26417
50.32,-74.6,73.09602
50.32,-74.6,79.22615
50.32,-74.6,81.94989
50.32,-74.6,87.53139
50.32,-74.6,74.39467
50.32,-74.6,75.48507
50.32,-74.6,78.99004
50.32,-74.6,90.88122
50.32,-74.6,88.3453
50.32,-74.6,83.5754
50.32,-74.6,87.59407
50.32,-74.6,77.71649
50.32,-74.6,92.98026
50.32,-74.6,81.16944
50.32,-74.6,93.77672
50.32,-74.6,82.21201
50.32,-74.6,86.7246
50.32,-74.6,82.34791
50.32,-74.6,83.82392
50.32,-74.6,76.66044
50.32,-74.6,94.18311
50.32,-74.6,86.13679
50.32,-74.6,83.20963
